"gvkey","tic","conm","prccq"
179534,"V","VISA INC",93.78
179551,"ELGSF","FENGRO INDUSTRIES CORP",0.025
179552,"EMPK","EMPIRE BANCORP INC",13.769
179555,"CATPF","GIYANI METALS CORP",0.28
179565,"HMDED","SIXONINE VENTURES CORP",0.105
179566,"SLVRF","SILVER ONE RESOURCES INC",0.5
179577,"CFX","COLFAX CORP",39.37
179583,"FN","FABRINET",42.66
179597,"HCCI","HERITAGE-CRYSTAL CLEAN INC",15.9
179598,"CLDX","CELLDEX THERAPEUTICS INC",2.47
179605,"GALE","GALENA BIOPHARMA INC",0.581
179616,"PCROF","PACIFIC IRON ORE CORP",0.165
179621,"PM","PHILIP MORRIS INTERNATIONAL",117.45
179624,"CJJD","CHINA JO-JO DRUGSTORES INC",1.745
179652,"ORRCF","OROCO RESOURCE CORP",0.04
179657,"HI","HILLENBRAND INC",36.1
179666,"LOGM","LOGMEIN INC",104.5
179671,"CCXI","CHEMOCENTRYX INC",9.36
179686,"ZGNX","ZOGENIX INC",14.5
179700,"DPS","DR PEPPER SNAPPLE GROUP INC",91.11
179731,"INSY","INSYS THERAPEUTICS INC",12.65
179738,"ERII","ENERGY RECOVERY INC",8.29
179741,"KKR","KKR & CO LP",18.6
179765,"CMBPF","NEWRANGE GOLD CORP",0.32
179782,"REN","RESOLUTE ENERGY CORP",29.77
179792,"ROM.H","ROMULUS RESOURCES LTD",0.15
179817,"VRS","VERSO CORP",4.69
179819,"NX","QUANEX BUILDING PRODUCTS",20.4
179825,"NHVCF","NORTHERN VERTEX MINING CORP",0.485
179831,"WES","WESTERN GAS PARTNERS LP",55.94
179834,"CDNA","CAREDX INC",1.11
179840,"FLDM","FLUIDIGM CORP",4.04
179841,"CDXS","CODEXIS INC",5.45
179843,"IPI","INTREPID POTASH INC",2.26
179865,"WMPN","WILLIAM PENN BANCORP INC",24.05
179870,"LRCPF","LORRAINE COPPER CORP",0.075
179889,"AGNC","AGNC INVESTMENT CORP",21.29
179895,"RUM.","ROCKY MOUNTAIN LIQUOR INC",0.07
179903,"SCYYF","SCANDIUM INTL MINING CORP",0.32
179929,"TITXF","TITAN MEDICAL INC",0.14
179948,"RKHNF","ROCKHAVEN RESOURCES LTD",0.16
179957,"ECHO","ECHO GLOBAL LOGISTICS INC",19.9
179964,"NQEXF","NQ EXPLORATION INC",0.01
179974,"HCI","HCI GROUP INC",46.98
180007,"CHIT","CHERUBIM INTERESTS INC",1e-04
180012,"WTRNF","WESTERN RESOURCES CORP",0.51
180016,"MRC","MRC GLOBAL INC",16.52
180019,"ALXEF","ALX URANIUM CORP",0.09
180029,"DGI","DIGITALGLOBE INC",33.3
180057,"IOVA","IOVANCE BIOTHERAPEUTICS INC",7.35
180081,"SPOXF","SPROTT INC",2.28
180083,"LOPE","GRAND CANYON EDUCATION INC",78.41
180109,"MLVF","MALVERN BANCORP INC",23.95
180112,"SB","SAFE BULKERS INC",2.29
180118,"SINO","SINO-GLOBAL SHIPPING AMERICA",2.88
180145,"FESLQ","FORBES ENERGY SERVICES LTD",0.01
180146,"TOMZ","TOMI ENVIRONMENTAL SOLUTINS",0.1
180157,"GLTC","GELTECH SOLUTIONS INC",0.25
180167,"SNI","SCRIPPS NETWORKS INTERACTIVE",68.31
180169,"BKJ","BANCORP OF NEW JERSEY INC",16.75
180183,"HBCP","HOME BANCORP INC",42.52
180193,"OCSL","OAKTREE SPECIALTY LENDING CP",4.86
180194,"AIKO","ALTERNATIVE INVESTMENT CORP",0.0698
180228,"IVR","INVESCO MORTGAGE CAPITAL INC",16.71
180229,"MG","MISTRAS GROUP INC",20.92
180249,"HPJ","HIGHPOWER INTERNATIONAL INC",3.65
180256,"NNA","NAVIOS MARITIME ACQUISITION",1.47
180272,"BKI","BLACK KNIGHT INC",40.95
180275,"MKTDF","DEEPMARKIT CORP",0.135
180296,"VICA","HCI VIOCARE",0.15
180330,"OBGRF","ORBIT GARANT DRILLING INC",1.7
180345,"RSSS","RESEARCH SOLUTIONS INC",0.99
180353,"NTGSF","GOLDEN PREDATOR MINING CORP",1.25
180363,"ALIM","ALIMERA SCIENCES INC",1.39
180367,"MYAGF","MAYA GOLD & SILVER INC",0.185
180381,"TRXXF","TERRAX MINERALS INC",0.61
180387,"TCKKF","TIMBERCREEK FINANCIAL CORP",9.37
180392,"KVLQF","KIVALLIQ ENERGY CORP",0.105
