"tic","invest"
"3WIZD",1002.00400801603
"AACTF",1002.00400801603
"AAINF",1002.00400801603
"AAT",1002.00400801603
"ABAC",1002.00400801603
"ABB",1002.00400801603
"ABBB",1002.00400801603
"ABEV",1002.00400801603
"ABHD",1002.00400801603
"ABIO",1002.00400801603
"ABMT",1002.00400801603
"ACFC",1002.00400801603
"ACHC",1002.00400801603
"ACPGF",1002.00400801603
"ACRE",1002.00400801603
"ACRX",1002.00400801603
"ACST",1002.00400801603
"ADC.UN",1002.00400801603
"ADMP",1002.00400801603
"ADUS",1002.00400801603
"AFCB",1002.00400801603
"AFH",1002.00400801603
"AGDXF",1002.00400801603
"AGNC",1002.00400801603
"AGRO",1002.00400801603
"AHY.UN",1002.00400801603
"AIKO",1002.00400801603
"AINV",1002.00400801603
"AIOCF",1002.00400801603
"AIRRF",1002.00400801603
"AIXN",1002.00400801603
"AKER",1002.00400801603
"AL",1002.00400801603
"ALARF",1002.00400801603
"ALGDF",1002.00400801603
"ALIM",1002.00400801603
"ALLE",1002.00400801603
"ALMTF",1002.00400801603
"ALNY",1002.00400801603
"ALQA",1002.00400801603
"ALSMY",1002.00400801603
"ALXEF",1002.00400801603
"AMCX",1002.00400801603
"AMHPF",1002.00400801603
"AMID",1002.00400801603
"AMPE",1002.00400801603
"AMPY",1002.00400801603
"AMRC",1002.00400801603
"AMRS",1002.00400801603
"ANCB",1002.00400801603
"ANDX",1002.00400801603
"ANFC",1002.00400801603
"ANGI.1",1002.00400801603
"ANGO",1002.00400801603
"ANKOF",1002.00400801603
"ANLDD",1002.00400801603
"ANNIF",1002.00400801603
"ANTH",1002.00400801603
"AOSL",1002.00400801603
"APEOF",1002.00400801603
"APO",1002.00400801603
"APPO",1002.00400801603
"APTS",1002.00400801603
"ARCO",1002.00400801603
"ARGEF",1002.00400801603
"ARGS",1002.00400801603
"ARGYF",1002.00400801603
"ARI",1002.00400801603
"ARMK",1002.00400801603
"ARR",1002.00400801603
"ARSMD",1002.00400801603
"ASBB",1002.00400801603
"ASCMA",1002.00400801603
"ASMB",1002.00400801603
"ASPN",1002.00400801603
"ASPS",1002.00400801603
"ASX",1002.00400801603
"ATBYF",1002.00400801603
"ATHOF",1002.00400801603
"ATOS",1002.00400801603
"ATVI",1002.00400801603
"AUG",1002.00400801603
"AUO",1002.00400801603
"AVAL",1002.00400801603
"AVEO",1002.00400801603
"AVGO",1002.00400801603
"AVH",1002.00400801603
"AVIR",1002.00400801603
"AVNZF",1002.00400801603
"AXGN",1002.00400801603
"BAH",1002.00400801603
"BAK",1002.00400801603
"BBRG",1002.00400801603
"BCEI",1002.00400801603
"BCH",1002.00400801603
"BCOV",1002.00400801603
"BCRMF",1002.00400801603
"BERY",1002.00400801603
"BGAVF",1002.00400801603
"BGMZF",1002.00400801603
"BHLL",1002.00400801603
"BICX",1002.00400801603
"BIOA",1002.00400801603
"BITA",1002.00400801603
"BKBEF",1002.00400801603
